time,ax,ay,az,gx,gy,gz,mx,my,mz
1734660162.4794374,605.2246,61.462402,831.54297,9.841919,19.371033,7.217407,-34.052544,-252.7057,112.30779
1734660162.483507,605.46875,73.73047,826.47705,7.789612,30.9906,3.6315918,-34.052544,-252.7057,112.30779
1734660162.4897313,624.0845,70.06836,833.61816,6.187439,43.74695,-0.08392334,-34.052544,-252.7057,112.30779
1734660162.4981103,628.479,63.598633,854.06494,5.2948,57.495117,-3.692627,-34.052544,-252.7057,112.30779
1734660162.5001526,618.4082,69.885254,872.31445,4.508972,70.999146,-6.8893433,-34.052544,-252.7057,112.30779
1734660162.5048857,607.4829,72.021484,880.4321,3.5171509,83.488464,-9.651184,-34.052544,-252.7057,112.30779
1734660162.5121944,606.3843,77.20947,891.9678,3.1585693,95.93964,-11.772156,-34.052544,-252.7057,112.30779
1734660162.5163074,606.68945,87.70752,918.2129,3.8375854,108.84857,-13.397217,-34.052544,-252.7057,112.30779
1734660162.5203774,610.5957,93.811035,947.0825,4.5166016,122.07794,-14.930725,-34.052544,-252.7057,112.30779
1734660162.524409,602.417,88.1958,968.68896,5.027771,135.52856,-16.273499,-34.052544,-252.7057,112.30779
1734660162.5288222,587.5244,80.81055,966.06445,5.1193237,148.59009,-17.242432,-34.052544,-252.7057,112.30779
1734660162.536806,570.55664,71.899414,960.8154,4.463196,160.93445,-18.081665,-34.052544,-252.7057,112.30779
1734660162.5408983,574.21875,58.59375,947.4487,2.8305054,171.97418,-18.753052,-34.052544,-252.7057,112.30779
1734660162.544961,586.54785,44.555664,921.5698,0.21362305,181.92291,-19.02771,-34.052544,-252.7057,112.30779
1734660162.5490904,600.46387,37.17041,911.9263,-2.5863647,190.99426,-18.829346,-34.052544,-252.7057,112.30779
1734660162.5531292,600.58594,19.16504,901.5503,-5.508423,199.00513,-18.363953,-91.40419,-245.53674,112.30779
1734660162.5614166,579.77295,0.7324219,896.3013,-8.331299,205.61218,-18.104553,-91.40419,-245.53674,112.30779
